maxvalues: 0.9832233786582947, maxindices: 1, MiddleTime: 61.06666666666667, subject:1, outputs: [0.9832234 0.0167767]
maxvalues: 0.9822362661361694, maxindices: 1, MiddleTime: 31.5, subject:1, outputs: [0.98223627 0.01776373]
maxvalues: 0.9831545352935791, maxindices: 1, MiddleTime: 53.75, subject:1, outputs: [0.98315454 0.01684546]
maxvalues: 0.9838876128196716, maxindices: 1, MiddleTime: 59.25, subject:1, outputs: [0.9838876  0.01611244]
maxvalues: 0.98114013671875, maxindices: 1, MiddleTime: 61.25, subject:1, outputs: [0.98114014 0.0188599 ]
maxvalues: 0.9809157252311707, maxindices: 1, MiddleTime: 64.0, subject:1, outputs: [0.9809157  0.01908424]
maxvalues: 0.9829335808753967, maxindices: 1, MiddleTime: 67.5, subject:1, outputs: [0.9829336  0.01706644]
maxvalues: 0.9838426113128662, maxindices: 1, MiddleTime: 69.5, subject:1, outputs: [0.9838426  0.01615737]
maxvalues: 0.981285572052002, maxindices: 1, MiddleTime: 71.25, subject:1, outputs: [0.9812856  0.01871448]
maxvalues: 0.9817869663238525, maxindices: 1, MiddleTime: 76.25, subject:1, outputs: [0.98178697 0.01821297]
maxvalues: 0.9825869202613831, maxindices: 2, MiddleTime: 3.5, subject:1, outputs: [0.01741311 0.9825869 ]
maxvalues: 0.9825869202613831, maxindices: 2, MiddleTime: 3.5, subject:1, outputs: [0.01741311 0.9825869 ]
maxvalues: 0.982125997543335, maxindices: 2, MiddleTime: 5.25, subject:1, outputs: [0.01787406 0.982126  ]
maxvalues: 0.9821770191192627, maxindices: 2, MiddleTime: 8.25, subject:1, outputs: [0.01782292 0.982177  ]
maxvalues: 0.9827856421470642, maxindices: 2, MiddleTime: 10.0, subject:1, outputs: [0.01721433 0.98278564]outputs: 0.9916560649871826outputs: 0.9923585057258606outputs: 0.9918982982635498outputs: 0.9920036196708679outputs: 0.9918056726455688outputs: 0.9920673370361328outputs: 0.9918296933174133outputs: 0.9911292791366577outputs: 0.9909281134605408outputs: 0.9901475310325623outputs: 0.9916560649871826outputs: 0.9923585057258606outputs: 0.9918982982635498outputs: 0.9920036196708679outputs: 0.9918056726455688outputs: 0.9920673370361328outputs: 0.9918296933174133outputs: 0.9911292791366577outputs: 0.9909281134605408outputs: 0.9901475310325623outputs: 0.9916560649871826outputs: 0.9923585057258606outputs: 0.9918982982635498outputs: 0.9920036196708679outputs: 0.9918056726455688outputs: 0.9920673370361328outputs: 0.9918296933174133outputs: 0.9911292791366577outputs: 0.9909281134605408outputs: 0.9901475310325623outputs: 0.985880970954895outputs: 0.9891746044158936outputs: 0.9918670058250427outputs: 0.9873394966125488outputs: 0.9858608245849609outputs: 0.9872318506240845outputs: 0.984370768070221outputs: 0.990497350692749outputs: 0.989329993724823outputs: 0.9848233461380005outputs: 0.9829403758049011outputs: 0.9922378659248352outputs: 0.9931116104125977outputs: 0.9909817576408386outputs: 0.9916808009147644outputs: 0.9910921454429626outputs: 0.9893400073051453outputs: 0.9891746044158936outputs: 0.9918670058250427outputs: 0.9873394966125488outputs: 0.9858608245849609outputs: 0.9872318506240845outputs: 0.984370768070221outputs: 0.9891746044158936outputs: 0.9918670058250427outputs: 0.9873394966125488outputs: 0.9858608245849609outputs: 0.9872318506240845outputs: 0.984370768070221outputs: 0.9891746044158936outputs: 0.9918670058250427outputs: 0.9873394966125488outputs: 0.9858608245849609outputs: 0.9872318506240845outputs: 0.984370768070221outputs: 0.9891746044158936outputs: 0.9918670058250427outputs: 0.9873394966125488outputs: 0.9858608245849609outputs: 0.9872318506240845outputs: 0.984370768070221outputs: 0.990497350692749outputs: 0.989329993724823outputs: 0.9848233461380005outputs: 0.9829403758049011outputs: 0.9883859157562256outputs: 0.9850718379020691outputs: 0.9836055636405945outputs: 0.9883859157562256outputs: 0.9850718379020691outputs: 0.9836055636405945outputs: 0.9883859157562256outputs: 0.9850718379020691outputs: 0.9836055636405945outputs: 0.9988850951194763outputs: 0.998995840549469outputs: 0.9988952875137329outputs: 0.9989145994186401outputs: 0.9990799427032471outputs: 0.9989903569221497outputs: 0.998997151851654outputs: 0.9984283447265625outputs: 0.9971634745597839outputs: 0.9973510503768921outputs: 0.9972044825553894outputs: 0.9972477555274963outputs: 0.9972215890884399outputs: 0.9968218803405762outputs: 0.9964194297790527outputs: 0.9954232573509216
